original,item_as_in_the_list,item_type,item_genus,genre,object_form,object_genus,autor,title,ident,time,Edition,publisher_all,publishing,media,web-media,person_public,city_of_publication,year_of_publication,storage_medium,Узкая оценка,Узкая оценка-2,Доп. подробности,Сомнительность,url,court,date_of_design,add_date,lemmatized,predicted
"Листовка «ВОЗВАНИЕ ПРИЗЫВ», обнаруженная 11.04.2005 в подъездах жилых домов № 5 по ул. Кирова, №№ 12, 17 по ул. Амурской в г. Владивостоке",Листовка,Листовка,Листовка,Публицистика,текст,бумажный документ,,ВОЗВАНИЕ ПРИЗЫВ,,,,,,,,,,,Бумага,???,,"найдена в подъездах жилых домов №5 по ул. Кирова, №№12, 17 по ул. Амурской в г. Владивостоке ",0.0,,Советский районный суд Владивостока,2008-10-24 00:00:00,2009-02-05,призыв жилой амурский ул г владивосток обнаруживать киров возвание подъезд листовка дом,Национальная рознь
Интернет-ресурс http://reinform.livejournal.com,Интернет-ресурс,Блог на платформе,Веб-сайт,Публицистика,мультимедиа,веб-сайт,,ЖЖ reinform.livejournal.com,0.0,,,,,,livejournal.com,,,,Удаленный сервер,???,,,0.0,reinform.livejournal.com,Кировский районный суд Уфы,2009-06-01 00:00:00,2009-07-28,интернет ресурс,Национальная рознь
"Публикация «Слово о свободе», размещенная на официально зарегистрированной Интернет - странице на сайте «www.Livejornal.com»",Публикация,Статья на веб-сайте,Статья,Публицистика,текст,отдельная веб-страница,,Слово о свободе,,,,,,,livejournal.com,,,,Удаленный сервер,???,,,0.0,Livejornal.com,Центральный районный суд Кемерово,2009-10-15 00:00:00,2010-01-20,публикация официально страница слово интернет сайт зарегистрировать размещать свобода,Национальная рознь
"Публикация «Курицы вы, больше никто», размещенная на сайте в сети Интернет",Публикация,Статья на веб-сайте,Статья,Публицистика,текст,отдельная веб-страница,,"Курицы вы, больше никто",,,,,,,ne ukaz,,,,Удаленный сервер,???,,,0.0,ne ukaz,Улетовский районный суд Читинской области,2009-03-23 00:00:00,2010-04-02,публикация интернет сайт сеть размещать курица,Национальная рознь
"Газета «Свободная Республика» № 40 (189), содержащую статью «Тяжелые похороны. Президент получил от ворот поворот»","Газета, содержащая статью",Статья в газете/журнале,Статья,Публицистика,текст,периодическое издание,,Тяжелые похороны. Президент получил от ворот поворот,2.0,,,Свободная Республика №40 (189),Свободная Республика №40 (189),Свободная Республика №40 (189),,Свободная Республика №40 (189),,,Бумага,???,,,0.0,,Советский районный суд Махачкалы,2010-04-21 00:00:00,2010-07-22,получать статья поворот свободный газета похороны президент республика тяжелый ворота содержать,Национальная рознь
Видеоматериал «KAVKAZ» на Интернет-странице по электронному адресу: http:vkontakte.ru/id28497819,Видеоматериал,Видеоролик,Видеоролик,Публицистика,видео,файл,,KAVKAZ,,,,,,,vk.com,,,,Удаленный сервер,???,,,0.0,vk.com/id28497819,Ленинский районный суд Кемерово,2010-05-25 00:00:00,2010-07-22,электронный адрес интернет видеоматериал страница,Национальная рознь
"Архив старой версии блога, размещенного в сети Интернет на сайте http://iepifanz.liveiournal.com/",Архив блога,Блог на платформе,Веб-сайт,Публицистика,мультимедиа,веб-сайт,,ЖЖ iepifanz.liveiournal.com,,,,,,,livejournal.com,,,,Удаленный сервер,???,,,0.0,iepifanz.livejournal.com,Миякинский районный суд Республики Башкортостан,2010-12-21 00:00:00,2011-02-17,старый интернет архив версия блог сеть сайт размещать,Национальная рознь
"Материалы, размещенные в сети Интернет по электронному адресу http://iepifanz.liveiournal.com/",Материал сети Интернет,Блог на платформе,Веб-сайт,Публицистика,мультимедиа,веб-сайт,,ЖЖ iepifanz.liveiournal.com,,,,,,,livejournal.com,,,,Удаленный сервер,???,,,0.0,iepifanz.livejournal.com,Миякинский районный суд Республики Башкортостан,2010-12-21 00:00:00,2011-02-17,электронный адрес интернет материал сеть размещать,Национальная рознь
"Информационный материал, содержащийся в листовке «Мы не доверяем этой власти!»",Информационный материал листовки,Листовка,Листовка,Агитматериал,изображение,бумажный документ,,Мы не доверяем этой власти!,,,,,,,,,,,Бумага,???,,,0.0,,Рудничный районный суд Прокопьевска Кемеровской области,2011-09-20 00:00:00,2011-11-16,содержаться информационный власть материал доверять листовка,Национальная рознь
Брошюра «Россия ополчается против разрушителей»,Брошюра,Брошюра,Непериодическое издание,Публицистика,текст,непериодическое издание,,Россия ополчается против разрушителей,,,,,,,,,,,Бумага,???,,,0.0,,Ленинский районный суд Воронежа,2011-06-28 00:00:00,2011-11-16,ополчаться разрушитель брошюра россия,Национальная рознь
Печатное издание — брошюра «Новости 11.04.2010»,Брошюра,Брошюра,Непериодическое издание,Публицистика,текст,непериодическое издание,,Новости 11.04.2010,,,,,,,,,,2010,Бумага,???,,,0.0,,Ленинский районный суд Уфы,2011-02-17 00:00:00,2012-03-16,новость издание печатный брошюра,Религиозная рознь
